web-scraper-order,web-scraper-start-url,title,views
"1699695464-1","https://www.tiktok.com/@skooldio","Reply to @sweettreat_yok   0 หายไป? ทำยังไงดีหล่ะ? #googlesheetstips  #skooldio  #แนะนําแอป","1.1M"
"1699695464-2","https://www.tiktok.com/@skooldio","Reply to @ppitcherr  แยกชื่อและนามสกุลให้เป็นคนละคอลลัมน์กัน #tiktokuni_th  #แอปดีบอกต่อ  #fyp  #googlesheets","2.1M"
"1699695464-3","https://www.tiktok.com/@skooldio","Reply to @mr_aek  วิธีทำ Barcode ใน Google Sheets ง่ายมากๆ 🤯🔥#tiktokuni  #googlesheets  #googlesheetstips  #แอปดีๆไม่มีไม่ได้แน้ว","2.4M"
"1699695464-4","https://www.tiktok.com/@skooldio","แนะนำ “How to วาดแบบร่างของเว็บไซต์” หรือ Wireframe ที่เป็นเครื่องมือสำคัญของเหล่า UX/UI Designer 💻
 .
 #Skooldio  #UXUI  #UserExperience  #UXFoundations  #userinterface","1071"
"1699695464-5","https://www.tiktok.com/@skooldio","📊 แจกสูตร ! สร้างตาราง & กราฟ สำหรับ ‘ติดตาม status งาน’ ใน Google Sheets 
 .
 #Skooldio  #Upskillwithskooldio  #googlesheets  #sheets  #แจกสูตร  #tiktokuni  #รู้จากtiktok  #fypシ","4778"
"1699695464-6","https://www.tiktok.com/@skooldio","“งานก็ต้องทำ ของก็ต้องขาย” ไหน ๆ แล้วก็เลยขอบังคับพี่ต้า MD ให้มาช่วยขายของแบบคนจีนให้ซะเลย 😅 
 .
 👩🏻‍💻 และพิเศษสำหรับใครที่อยากรู้ว่า “10 ทักษะที่มีแล้วโดนแย่งตัว” จะมีอะไรบ้าง ???
 .
 อย่าลืมรอดู Tiktok Live วันที่ 9 พ.ย. นี้ 19.00 น. จากพวกเรากันนะ  🤫 
 .
 #skooldio  #upskillwithskooldio  #tiktokuni  #รู้จากtiktok  #fypシ  #pov  #คนจีนไลฟ์ขายของ","1535"
"1699695464-7","https://www.tiktok.com/@skooldio","🧩 บรรยากาศของงาน Digital Leadership Bootcamp รุ่นที่ 4 #DLB4  สัปดาห์ที่ 2 !
 .
 หลักสูตรสุดเข้มข้นที่จะช่วยอัปสกิลผู้บริหารให้เข้าใจ และลงมือเปลี่ยนแปลงองค์กรให้ก้าวข้ามทุกอุปสรรคในการทำ Digital Transformation💪🏻
 .
 #DLB4  #DLBbySkooldio  #DigitalLeadership  #DigitalTransformation  #CEO  #ผู้บริหาร  #ผู้นํา  #fypシ","2017"
"1699695464-8","https://www.tiktok.com/@skooldio","🔍 เจาะทักษะจำเป็นในการทำงาน ของ ‘อดีต Product Manager’ ผู้อยู่เบื้องหลัง Google Chrome ก่อนก้าวสู่เบื้องหน้าในฐานะ CEO Google ของ Sundar Pichai
 .
 แน่นอนว่าทักษะสำคัญต่าง ๆ เหล่านี้ ช่วยให้ Sundar สามารถทำ Product Management ได้อย่างดี จนได้รับความไว้วางให้ขึ้นมาเป็นผู้นำของ Google 
 .
 #Skooldio  #Upskillwithskooldio  #Sundarpichai  #Google  #Chrome  #Android  #ProductManagement  #Productmanager  #PM","2628"
"1699695464-9","https://www.tiktok.com/@skooldio","📊 Guidebook สรุปข้อมูลจาก เว็บไซต์ DDproperty.com สำหรับคอนโดมือสอง ที่กำลังเปิดขายตามแนวรถไฟฟ้า > สำหรับ First Jobber หรือคนที่เพิ่งทำงานได้ไม่นาน อยากลงทุนซื้อ หรือเช่าคอนโดเป็นของตัวเอง ควรจะเลือกทำเลไหนดี ⚠️
 .
 #Skooldio  #UpskillwithSkooldio  #Data #Dataa #DataaAnalytics #dataanalyticssBootcamp  #firstjobber  #เด็กจบใหม่  #ซื้อคอนโด  #คอนโด  #คอนโดใกล้รถไฟฟ้า  #fypシ","2678"
"1699695464-10","https://www.tiktok.com/@skooldio","🧩 บรรยากาศของหลักสูตรผู้บริหาร Digital Leadership Bootcamp รุ่นที่ 4 !
 .
 หลักสูตรสุดเข้มข้นที่จะช่วยอัปสกิลผู้บริหารให้เข้าใจ และลงมือเปลี่ยนแปลงองค์กรให้ก้าวข้ามทุกอุปสรรคในการทำ Digital Transformation💪🏻
 .
 #DLB4  #DLBbySkooldio  #DigitalLeadership  #DigitalTransformation  #CEO  #BUILK  #ผู้บริหาร  #ผู้นํา  #fypシ","1390"
"1699695464-11","https://www.tiktok.com/@skooldio","🤔 ใครอยากย้ายสายมาเป็น Product Manager ต้องฟังคลิปนี้ | PM คืออะไร ? พร้อมแนะนำ Skill ที่ต้องมีก่อนเริ่มงาน ❗️
 .
 #Skooldio  #UpSkillwithSkooldio  #productmanager  #productmanagement  #ย้ายสาย  #ย้ายสายสิครับ  #เด็กจบใหม่  #เด็กจบใหม่หางานทํา🎉  #developer  #uxdesign  #uidesign  #fyp","1563"
"1699695464-12","https://www.tiktok.com/@skooldio","ชีวิตกราฟฟิกแบบใด… 😮‍💨
 .
 #UpSkillwithSkooldio  #Skooldio  #GenerativeAI  #graphicdesign  #lifehacks  #กราฟฟิก  #fypシ  #กราฟฟิค  #ชีวิตกราฟิก  #ฟรีแลนซ์","2172"
"1699695464-13","https://www.tiktok.com/@skooldio","❤️ ทำสไลด์ให้ตะโกน เปลี่ยน Data เป็นเรื่องเล่าสะกดใจคนฟัง กับเวิร์กชอป Effective Data Storytelling รุ่นที่ 5
 
 แก้ปัญหาพรีเซนต์ข้อมูล ทำสไลด์มาตั้งนาน สุดท้ายหัวหน้าไม่เก็ต กับหลักสูตรจัดเต็มครบ จบใน 1 วัน เปลี่ยนคุณเป็นนักทำสไลด์มือโปรที่สื่อสาร Insight เพื่อการตัดสินใจในองค์กร ดูรายละเอียดแล้วสมัครได้ที่: https://to.skooldio.com/r1cdeM4P2Db
 .
 🔥 #พิเศษสุดกับส่วนลด 🔥 
 - 10 ท่านแรก! ลดทันที 1,000 บาท
 - สมัคร 3 ท่านขึ้นไป ลดเหลือท่านละ 7,400 บาท
 - สมัคร 5 ท่านขึ้นไป ลดเหลือท่านละ 6,900 บาท
 
 #skooldio #upskillwithskooldio #datastorytelling #storytelling #dataanalytics #marketing #presentation","1377"
"1699695464-14","https://www.tiktok.com/@skooldio","🎨 สร้างรูปภาพจากข้อความง่าย ๆ ไม่ถึง 30 วินาที ด้วยฟังก์ชัน Text-to-image จากโปรแกรม Canva 
 .
 #Skooldio  #Upskillwithskooldio  #tiktokuni  #Canva  #canvatips  #canvahacks  #Ai  #fyp  #fypシ","3039"
"1699695464-15","https://www.tiktok.com/@skooldio","✅ 10 คำศัพท์ Technical Terms ep.2 ที่รับรองว่า Product Manager มือใหม่ต้องรู้ไว้! 🤫
 .
 #Skooldio  #Upskillwithskooldio  #Productmanagement  #productmanager  #technicalterms  #digitalproducts  #fyp  #TikTokUni  #tiktokวิดิโอยาว","728"
"1699695464-16","https://www.tiktok.com/@skooldio","✅ 10 คำศัพท์ Technical Terms ที่รับรองว่า Product Manager มือใหม่ต้องรู้ไว้! 🤫
 .
 #Skooldio  #Upskillwithskooldio  #Productmanagement  #productmanager  #technicalterms  #digitalproducts  #fyp  #TikTokUni  #tiktokวิดิโอยาว","6524"
"1699695464-17","https://www.tiktok.com/@skooldio","⚡️ หากใครอยากเริ่มดึงข้อมูลจากเว็บไซต์ด้วย Webscraper.io แล้วไม่รู้จะเริ่มยังไง
 ห้ามพลาดกับเวิร์กชอป Web Scraping with Minimal Coding รุ่นที่ 1 เวิร์กชอป 1 วันเต็มสำหรับมือใหม่ ที่ไม่ถนัดการเขียนโค้ด เปลี่ยนทุกเว็บไซต์บนโลกให้เป็นแหล่งข้อมูลให้คุณเอามาใช้งานต่อได้ง่ายๆ
 .
 🔥 ราคาพิเศษ เหลือเพียง 5,900 บาทจากปกติ 8,900 บาท > https://to.skooldio.com/RIKEawCWXDb กรอกโค้ด WSC1 รับส่วนลดเพิ่มอีก 500 บาท
 .
 #Skooldio  #Upskillwithskooldio  #webscraping  #coding  #workshop","5932"
"1699695464-18","https://www.tiktok.com/@skooldio","🧩 ออกแบบข้อความบน Product ให้ผู้ใช้งาน ‘เก็ทไว’ และ ‘เข้าใจง่าย’ ด้วยกฎ ‘Rule of Thumb’
 .
 #Skooldio  #Upskillwithskooldio  #UXWriting  #UX  #UI  #ขายของออนไลน์  #ขายของในtiktok  #fyp","1134"
"1699695464-19","https://www.tiktok.com/@skooldio","🎀 หากใครยังไม่รู้จะให้ของขวัญรับปริญญาอะไร เราช่วยได้! มอบสกิลติดตัวเพื่ออนาคตด้านการงานที่สดใสให้คนที่เราหวังดีด้วย Online Course Gift Card ที่คุณออกแบบได้เอง พร้อมส่วนลด 15% แบบจุก ๆ
 Lazada 👉 https://bit.ly/3ZplXMl (link in bio)
 .
 สุดท้ายนี้ Skooldio ขอแสดงความยินดีกับบัณฑิตใหม่ทุกคนด้วยค้าบ🥳
 .
 #skooldio  #upskillwithskooldio  #ของขวัญรับปริญญา  #ไอเดียของขวัญ  #จุฬา  #ธรรมศาสตร์  #เกษตร  #มหิดล","1359"
"1699695464-20","https://www.tiktok.com/@skooldio","💔✨ จะหมดปีแล้วยังหาแฟนไม่ได้ก็ไม่เป็นไร หาเรียน Workshop ใหม่ๆกับ Skooldio ดีกว่า!
 .
 เปิดตัว 6 Workshop ด้าน Data ส่งท้ายปีจาก Skooldio เพราะเราอยากให้ทุกคนได้ลองลงมือทำและได้สัมผัสกับ Data จริง!
 .
 🔥 โดยหลักสูตร On-site 1 วันเต็มของเราออกแบบมาเพื่อให้ทุกคนเข้าใจตั้งแต่ 0 จนทำเองเป็น! จะมี Workshop อะไรบ้าง ไปดูกันเลยย
 .
 แอบกระซิบว่าหากส่งพนักงานเข้าร่วม Workshop Serie นี้ สามารถคละจำนวนเพื่อรับส่วนลดแบบ Pack ได้นะคะ ดูรายละเอียดเพิ่มเติมและสมัครได้แล้ววันนี้!
 
 #skooldio #Upskillwithskooldio #Dataworkshop #เวิร์คช็อป #dataanalytics #dataanalysis #dataanalyst #datascience #datascientist #businessintelligence #datavisualization #powerbi #looker #eda #exploratorydataanalysis #webscraping","1250"
"1699695464-21","https://www.tiktok.com/@skooldio","📚 #แนะนำหนังสือ 11 เล่ม ep.2 | สำหรับทุกคนที่สนใจในสายงาน #productmanager  รวมถึง PM ที่อยากหาความรู้เพิ่มเติมให้ตัวเองด้วยเช่นกัน!
 .
 #skooldio  #upskillwithskooldio  #อ่านตามtiktok  #manager #แนะนํา  #อาชีพ  #ทํางาน  #career  #careeradvice  #ความรู้  #fyp  #หนังสือ  #หางาน","1669"
"1699695464-22","https://www.tiktok.com/@skooldio","ทำงานสายออกแบบห้ามพลาด!
 
 การใช้ AI ในงานออกแบบ สร้างงานไว ออกแบบได้เหนือจินตนาการ
 ไม่มีสิ่งไหนที่เป็นไปไม่ได้อีกต่อไป!
 
 #ออกแบบกราฟิก  #ออกแบบโลโก้  #กราฟิกดีไซน์  #กราฟิก  #graphicdesign  #illustration   #ออกแบบ #aiวาดรูปให้  #stablediffusion  #tiktokuni  #tiktokสายความรู้  #tiktokสายอาร์ต   #skooldio","1015"
"1699695464-23","https://www.tiktok.com/@skooldio","🎯แจกทุน! ส่วนลด 50% Workshop สาย Data (จำนวนจำกัด) เฉพาะน้อง ๆ นิสิต นักศึกษา
 .
 💡เพราะการเข้า Workshop คือการได้ลงมือทำจริงจากผู้สอนที่เชี่ยวชาญในสายงาน Skooldio จึงอยากให้น้องๆ นิสิต-นักศึกษาที่กำลังจะก้าวเข้าสู่การทำงานจริงได้ลองทำและฝึกฝีมืออัปสกิลเพิ่มความมั่นใจ!","25.1K"
"1699695464-24","https://www.tiktok.com/@skooldio","📚 #แนะนำหนังสือ 11 เล่มสำหรับทุกคนที่สนใจในสายงาน #productmanager  รวมถึง PM ที่อยากหาความรู้เพิ่มเติมให้ตัวเองด้วยเช่นกัน!
 .
 #Skooldio  #upskillwithskooldio  #อ่านตามTiktok  #PM  #ความรู้","1722"
"1699695464-25","https://www.tiktok.com/@skooldio","💡 Power BI และ Looker 2 เครื่องมือ Data Visualization ยอดฮิตที่ทั้ง ""ฟรี"" และ ""ใช้งานง่าย""
 .
 ถ้าใครยังไม่รู้จะเริ่มยังไง มาลงมือทำจริงกับ Skooldio ในเวิร์กชอป Dashboard Design with Power BI และ Dashboard Design with Looker ที่จะจับมือคุณทำทีละสเตป! สมัครได้แล้ววันนี้ 💪🏻
 .
 #Dashboard #PowerBI #Looker #lookerstudio#dashboards #แดชบอร์ดมืออาชีพ #datavisualization#datavisualisation #Skooldio","2856"
"1699695464-26","https://www.tiktok.com/@skooldio","📱📊 Looker Studio เวอร์ชัน Application มาแล้ว! แถมทดลองใช้ฟรี 30 วัน
 
 *ตอนนี้ยังใช้ได้เฉพาะผู้ใช้ Looker Studio Pro เท่านั้น หรือใครอยากลองใช้ มีเปิดทดลองใช้ฟรี 30 วัน
 .
 สำหรับใครที่สนใจใช้งาน Looker Studio เครื่องมือสร้าง Dashboard ไฟแรงจาก Google แล้วไม่รู้จะเริ่มยังไง
 .
 ห้ามพลาดกับ Dashboard Design with Looker เวิร์กชอป 1 วันเต็มที่จะจับมือคุณทำไปทีละสเตปตั้งแต่ 0 จนทำเองเป็น! ไม่มีพื้นฐานก็เรียนได้ สอนโดยดร.ต้า อดีต Data Scientist ที่ Facebook สมัครได้แล้ววันนี้: https://to.skooldio.com/ZgE4MLDhKDb
 
 #skooldio  #Looker  #LookerStudio  #dataanalysis #dashboard  #แดชบอร์ดมืออาชีพ  #แดชบอร์ด","1295"
"1699695464-27","https://www.tiktok.com/@skooldio","""ชาว HR, Marketing, Sale ก็ต้องทำ Data Storytelling เป็น!
 เพราะเรื่องนี้ไม่ใช่แค่เรื่องของชาว Data เท่านั้น🔥
 .
 Data Storytelling คือ การเล่าเรื่องจากข้อมูลเพื่อให้คนฟังเข้าใจง่าย แทนที่จะอธิบายข้อมูลซับซ้อนๆ จนคนไม่เข้าใจ ถือเป็นอีก 1 Soft Skill ที่องค์ในตอนนี้ต้องการ!
 .
 ห้ามพลาดกับ Effective Data Storytelling รุ่นที่ 4 และ 5 เวิร์กชอป 1 วันเต็มที่จะเปลี่ยนคุณเป็นนักพรีเซนต์ข้อมูลมืออาชีพ! สมัครได้แล้ววันนี้ 💻💪🏻""
 .
 #Skooldio  #UpskillwithSkooldio  #datastorytelling  #data  #storytelling","1312"
"1699695464-28","https://www.tiktok.com/@skooldio","มาดูกันว่าถ้าสถาปนิกเอา AI มาช่วยในงานออกแบบ จะเกิดอะไรขึ้น 👀
 .
 สำหรับคนที่สนใจเรียนรู้การใช้ AI ในงานออกแบบ ทั้งงานด้านสถาปนิก หรืองานกราฟฟิก กดที่ลิงค์ในคอมเมนต์ได้เลย! 🔥
 .
 #aiวาดรูป  #aiสร้างภาพ  #สถาปนิก  #สถาปัต  #stablediffusion  #tiktokสายความรู้  #ธุรกิจ","1143"
"1699695464-29","https://www.tiktok.com/@skooldio","✨ Effective Data Storytelling เวิร์ปชอป 1 วันเต็ม ที่จะเปลี่ยนคุณเป็นนักเล่าข้อมูลมืออาชีพ 
 .
 📊 ตั้งแต่เลือกกราฟให้เหมาะกับข้อมูล จนถึงการสร้างโครงเรื่องการเล่าให้โน้มน้าวใจผู้ฟัง พรีเซนต์กี่ครั้งก็ขายงานผ่าน !
 .
 ดูรายละเอียดหลักสูตรและสมัครเรียนได้ที่ 👉🏻 https://to.skooldio.com/HVKwKRSzADb
 (รับจำนวนจำกัด)
 .
 #Upskillwithskooldio  #Skooldio  #DataStorytelling  #Data  #Storytelling","1866"
"1699695464-30","https://www.tiktok.com/@skooldio","🫣 มาแอบดูว่า ถ้าให้แต่งตัวตีม “พ.พาน” ชาว #Skooldio  จะแต่งเป็นอะไรกันบ้าง 
 .
 #แต่งตัวตามตีม  #worktok  #worklife  #คนไทยเป็นคนตลก  #fypシ","9562"
"1699695464-31","https://www.tiktok.com/@skooldio","🔥📊 ทำไงดี?! ทำกราฟมาอย่างสวย อัดแน่นข้อมูลอย่างว้าว แต่เล่าให้ใครฟังก็ไม่เข้าใจ
 .
 พามาลองดู 2 เทคนิคง่ายๆ ที่จะเปลี่ยน Infographic ให้กลายเป็นสไลด์นำเสนอข้อมูลที่ใครดูก็เข้าใจ พร้อมให้ Insights ได้อย่างรวดเร็วและตรงประเด็น
 .
 #DataVisualization  #DataStorytelling  #Skooldio","24.6K"
"1699695464-32","https://www.tiktok.com/@skooldio","✨ รีวิวงาน #DSME2023  Digital SME Conference 2023 
 .
 #Skooldio  #SME  #การตลาดวันละคลิป  #upskill","1103"
